point,path,cost,count,checking_edges,waypoints_of_llm,waypoints_using_llm
"(6805616, 6800316)","[6805616, 6805614, 6805617, 6800902, 6800903, 6800904, 6800905, 6800906, 6800314, 6800313, 6800312, 6800320, 6800319, 6800862, 6800113, 6800112, 6800974, 6800316]",30,191,191,,
"(6801910, 6800267)","[6801910, 6805668, 6801889, 6801885, 6801882, 6801880, 6801878, 6801906, 6801863, 6805261, 6800006, 6800165, 6800216, 6800636, 6801011, 6800255, 6800254, 6800253, 6800274, 6800273, 6800272, 6800271, 6800270, 6800269, 6800268, 6800267]",46,2361,2261,,
"(6800714, 6801202)","[6800714, 6801266, 6800700, 6800701, 6800999, 6805648, 6805642, 6800704, 6805641, 6800703, 6801002, 6801003, 6801004, 6801005, 6801006, 6801007, 6801839, 6800990, 6801009, 6801010, 6801806, 6800035, 6800036, 6800037, 6800038, 6800008, 6800040, 6800041, 6800149, 6801848, 6800165, 6800216, 6800150, 6800151, 6800152, 6800305, 6800304, 6800303, 6800302, 6801205, 6800462, 6801202]",54,2238,2108,,
"(6800962, 6801162)","[6800962, 6800961, 6800950, 6800016, 6801874, 6801174, 6805706, 6801172, 6806306, 6806305, 6806304, 6801842, 6801162]",27,1349,1279,,
"(6800831, 6800437)","[6800831, 6800832, 6800833, 6800834, 6800835, 6800836, 6801850, 6801044, 6800742, 6801288, 6806345, 6805532, 6801167, 6805808, 6801070, 6801071, 6801165, 6801874, 6800016, 6801817, 6801866, 6801864, 6805261, 6800006, 6800165, 6801799, 6801139, 6801849, 6801208, 6800160, 6800338, 6800339, 6800340, 6800342, 6800343, 6800344, 6800345, 6800346, 6800347, 6800348, 6800335, 6800418, 6806186, 6800433, 6801120, 6800435, 6800436, 6800437]",91,2840,2703,,
"(6800405, 6800764)","[6800405, 6800404, 6800403, 6800402, 6805644, 6800401, 6800566, 6800567, 6800568, 6800624, 6800359, 6802337, 6800358, 6800357, 6800356, 6800355, 6800354, 6800353, 6800352, 6800351, 6800337, 6800350, 6800336, 6800335, 6800348, 6800347, 6800346, 6800345, 6800344, 6800343, 6800342, 6800340, 6800339, 6800338, 6800160, 6801208, 6801849, 6801139, 6801799, 6800165, 6800006, 6805261, 6801864, 6801866, 6801817, 6800016, 6801874, 6801165, 6801071, 6801070, 6805808, 6801167, 6805532, 6806345, 6801288, 6800742, 6800793, 6800764]",98,2555,2441,,
"(6800300, 6800472)","[6800300, 6801011, 6800636, 6800216, 6801799, 6801139, 6801849, 6801208, 6800160, 6800338, 6800339, 6800340, 6800342, 6800343, 6800344, 6800345, 6800346, 6800347, 6800348, 6800335, 6800336, 6800350, 6800337, 6800351, 6800352, 6800353, 6800354, 6800355, 6800356, 6800474, 6800475, 6800472]",44,1721,1629,,
"(6805532, 6806307)","[6805532, 6801167, 6805808, 6801070, 6801071, 6801165, 6800626, 6801145, 6801146, 6806307]",10,205,205,,
"(6805674, 6800293)","[6805674, 6802403, 6805519, 6805621, 6801909, 6806332, 6806333, 6802350, 6806334, 6801864, 6805261, 6800006, 6800007, 6801047, 6800293]",51,2441,2325,,
"(6801426, 6800832)","[6801426, 6800841, 6800840, 6805535, 6800839, 6800838, 6800837, 6800798, 6801216, 6800770, 6800769, 6800768, 6800767, 6800766, 6800765, 6801294, 6800763, 6801051, 6805665, 6801044, 6801850, 6800836, 6800835, 6800834, 6800833, 6800832]",59,1241,1199,,
